onset	duration	eye	startTime	stopTime
1.77	0.114	L	3064458	3064570
1.774	0.126	R	3064462	3064586
3.248	0.114	L	3065936	3066048
3.248	0.128	R	3065936	3066062
6.116	0.146	L	3068804	3068948
6.118	0.16	R	3068806	3068964
8.328	0.052	L	3071016	3071066
8.334	0.05	R	3071022	3071070
9.238	0.074	L	3071926	3071998
9.244	0.068	R	3071932	3071998
10.2	0.122	L	3072888	3073008
10.208	0.124	R	3072896	3073018
13.006	0.09	L	3075694	3075782
13.008	0.09	R	3075696	3075784
15.118	0.096	L	3077806	3077900
15.118	0.106	R	3077806	3077910
17.194	0.058	L	3079882	3079938
17.196	0.056	R	3079884	3079938
18.006	0.06	L	3080694	3080752
18.016	0.054	R	3080704	3080756
19.636	0.078	L	3082324	3082400
19.656	0.098	R	3082344	3082440
19.968	0.46	R	3082656	3083114
19.962	0.47	L	3082650	3083118
20.624	0.36	R	3083312	3083670
20.624	0.368	L	3083312	3083678
21.704	0.06	R	3084392	3084450
21.704	0.07	L	3084392	3084460
22.324	0.088	L	3085012	3085098
22.328	0.084	R	3085016	3085098
23.322	0.056	R	3086010	3086064
23.316	0.072	L	3086004	3086074
24.066	0.064	R	3086754	3086816
24.064	0.076	L	3086752	3086826
25.192	0.082	R	3087880	3087960
25.186	0.094	L	3087874	3087966
26.702	0.076	R	3089390	3089464
26.702	0.084	L	3089390	3089472
29.48	0.14	L	3092168	3092306
29.482	0.138	R	3092170	3092306
30.038	0.076	R	3092726	3092800
30.026	0.1	L	3092714	3092812
30.972	0.064	L	3093660	3093722
30.976	0.072	R	3093664	3093734
32.26	0.13	L	3094948	3095076
32.272	0.128	R	3094960	3095086
33.706	0.112	R	3096394	3096504
33.702	0.124	L	3096390	3096512
35.094	0.022	R	3097782	3097802
35.082	0.062	L	3097770	3097830
35.976	0.08	L	3098664	3098742
35.984	0.086	R	3098672	3098756
36.74	0.18	R	3099428	3099606
37.892	0.188	L	3100580	3100766
37.9	0.194	R	3100588	3100780
38.718	0.156	L	3101406	3101560
38.748	0.128	R	3101436	3101562
39.742	0.03	R	3102430	3102458
39.73	0.066	L	3102418	3102482
40.836	0.036	R	3103524	3103558
42.282	0.08	R	3104970	3105048
42.284	0.09	L	3104972	3105060
42.762	0.066	L	3105450	3105514
42.774	0.054	R	3105462	3105514
43.336	0.086	L	3106024	3106108
43.346	0.078	R	3106034	3106110
44.254	0.088	L	3106942	3107028
44.262	0.09	R	3106950	3107038
46.204	0.16	L	3108892	3109050
46.206	0.174	R	3108894	3109066
47.084	0.07	L	3109772	3109840
47.086	0.072	R	3109774	3109844
48.58	0.084	L	3111268	3111350
48.58	0.092	R	3111268	3111358
49.836	0.05	R	3112524	3112572
49.834	0.072	L	3112522	3112592
50.744	0.15	L	3113432	3113580
50.754	0.152	R	3113442	3113592
54.4	0.14	L	3117088	3117226
54.404	0.14	R	3117092	3117230
55.906	0.128	L	3118594	3118720
55.918	0.116	R	3118606	3118720
57.268	0.074	L	3119956	3120028
57.268	0.096	R	3119956	3120050
59.514	0.042	R	3122202	3122242
59.498	0.072	L	3122186	3122256
60.406	0.092	L	3123094	3123184
60.406	0.092	R	3123094	3123184
61.038	0.17	L	3123726	3123894
61.044	0.168	R	3123732	3123898
63.212	0.116	L	3125900	3126014
63.208	0.13	R	3125896	3126024
67.044	0.192	L	3129732	3129922
67.048	0.198	R	3129736	3129932
68.518	0.11	L	3131206	3131314
68.528	0.112	R	3131216	3131326
71.526	0.072	R	3134214	3134284
71.528	0.08	L	3134216	3134294
71.82	0.128	L	3134508	3134634
71.828	0.132	R	3134516	3134646
72.73	0.07	R	3135418	3135486
72.732	0.074	L	3135420	3135492
73.502	0.042	L	3136190	3136230
74.332	0.094	L	3137020	3137112
74.322	0.13	R	3137010	3137138
75.122	0.148	L	3137810	3137956
75.124	0.178	R	3137812	3137988
76.318	0.088	R	3139006	3139092
76.316	0.1	L	3139004	3139102
77.244	0.116	R	3139932	3140046
77.232	0.14	L	3139920	3140058
78.18	0.112	L	3140868	3140978
78.186	0.112	R	3140874	3140984
80.61	0.098	R	3143298	3143394
80.604	0.112	L	3143292	3143402
81.732	0.202	L	3144420	3144620
81.732	0.202	R	3144420	3144620
82.758	0.1	L	3145446	3145544
82.766	0.102	R	3145454	3145554
83.508	0.062	R	3146196	3146256
83.504	0.068	L	3146192	3146258
84.988	0.118	R	3147676	3147792
84.984	0.124	L	3147672	3147794
85.884	0.158	L	3148572	3148728
85.886	0.166	R	3148574	3148738
88.138	0.206	L	3150826	3151030
88.146	0.206	R	3150834	3151038
89.136	0.06	L	3151824	3151882
89.138	0.066	R	3151826	3151890
89.55	0.1	L	3152238	3152336
89.554	0.096	R	3152242	3152336
90.106	0.082	L	3152794	3152874
90.11	0.078	R	3152798	3152874
92.248	0.232	L	3154936	3155166
92.26	0.228	R	3154948	3155174
93.078	0.07	L	3155766	3155834
93.076	0.074	R	3155764	3155836
94.18	0.066	R	3156868	3156932
94.176	0.082	L	3156864	3156944
94.636	0.07	R	3157324	3157392
94.622	0.088	L	3157310	3157396
95.236	0.08	R	3157924	3158002
95.232	0.086	L	3157920	3158004
95.702	0.15	L	3158390	3158538
95.708	0.146	R	3158396	3158540
96.718	0.156	L	3159406	3159560
96.718	0.162	R	3159406	3159566
97.902	0.05	R	3160590	3160638
97.884	0.092	L	3160572	3160662
99.212	0.038	L	3161900	3161936
125.144	0.17	L	3187832	3188000
125.144	0.18	R	3187832	3188010
126.312	0.144	L	3189000	3189142
126.312	0.144	R	3189000	3189142
129.634	0.088	L	3192322	3192408
129.634	0.088	R	3192322	3192408
130.03	0.184	L	3192718	3192900
130.032	0.188	R	3192720	3192906
133.21	0.08	L	3195898	3195976
133.21	0.1	R	3195898	3195996
135.32	0.104	L	3198008	3198110
135.328	0.102	R	3198016	3198116
136.54	0.088	L	3199228	3199314
136.536	0.096	R	3199224	3199318
137.61	0.094	L	3200298	3200390
137.61	0.106	R	3200298	3200402
138.186	0.052	R	3200874	3200924
138.176	0.066	L	3200864	3200928
140.828	0.188	L	3203516	3203702
140.832	0.192	R	3203520	3203710
142.026	0.092	L	3204714	3204804
142.034	0.086	R	3204722	3204806
142.442	0.16	L	3205130	3205288
142.446	0.168	R	3205134	3205300
143.398	0.06	L	3206086	3206144
