participant_id	condition	accuracy	reaction_time
sub-23979	incongruent	1	0.682
sub-23979	congruent	1	0.348
sub-23979	incongruent	0	0.333
sub-23979	congruent	1	0.426
sub-23979	congruent	1	0.367
sub-23979	incongruent	1	0.406
sub-23979	congruent	1	0.317
sub-23979	incongruent	0	0.340
sub-23979	incongruent	1	0.422
sub-23979	incongruent	1	0.464
sub-23979	incongruent	1	0.407
sub-23979	congruent	1	0.418
sub-23979	incongruent	0	0.283
sub-23979	congruent	1	0.318
sub-23979	incongruent	1	0.484
sub-23979	congruent	1	0.349
sub-23979	incongruent	0	0.234
sub-23979	congruent	1	0.295
sub-23979	congruent	1	0.280
sub-23979	congruent	1	0.246
sub-23979	incongruent	1	0.222
sub-23979	congruent	1	0.256
sub-23979	incongruent	0	0.278
sub-23979	incongruent	0	0.318
sub-23979	incongruent	1	0.487
sub-23979	congruent	1	0.366
sub-23979	incongruent	1	0.412
sub-23979	incongruent	1	0.419
sub-23979	congruent	1	0.382
sub-23979	incongruent	1	0.406
sub-23979	incongruent	0	0.386
sub-23979	incongruent	1	0.452
sub-23979	incongruent	1	0.440
sub-23979	congruent	1	0.381
sub-23979	congruent	1	0.362
sub-23979	congruent	1	0.388
sub-23979	congruent	1	0.351
sub-23979	congruent	1	0.315
sub-23979	incongruent	1	0.411
sub-23979	incongruent	1	0.385
sub-23979	incongruent	1	0.415
sub-23979	congruent	1	0.301
sub-23979	incongruent	1	0.428
sub-23979	congruent	1	0.241
sub-23979	congruent	1	0.178
sub-23979	congruent	0	0.000
sub-23979	incongruent	0	0.249
sub-23979	congruent	1	0.292
sub-23979	congruent	1	0.323
sub-23979	incongruent	0	0.228
sub-23979	congruent	1	0.331
sub-23979	congruent	1	0.349
sub-23979	incongruent	1	0.501
sub-23979	congruent	1	0.358
sub-23979	incongruent	1	0.264
sub-23979	congruent	1	0.303
sub-23979	incongruent	0	0.265
sub-23979	congruent	0	0.319
sub-23979	congruent	1	0.349
sub-23979	incongruent	0	0.313
sub-23979	incongruent	0	0.540
sub-23979	congruent	1	0.304
sub-23979	congruent	0	0.193
sub-23979	incongruent	0	0.294
sub-23979	congruent	1	0.297
sub-23979	incongruent	1	0.428
sub-23979	incongruent	1	1.122
sub-23979	congruent	1	0.248
sub-23979	incongruent	0	0.296
sub-23979	incongruent	0	0.269
sub-23979	incongruent	0	0.311
sub-23979	incongruent	0	0.321
sub-23979	congruent	1	0.354
sub-23979	incongruent	1	0.442
sub-23979	incongruent	0	0.362
sub-23979	congruent	1	0.332
sub-23979	congruent	1	0.278
sub-23979	incongruent	0	0.427
sub-23979	incongruent	0	0.427
sub-23979	incongruent	0	0.395
sub-23979	incongruent	1	0.500
sub-23979	congruent	1	0.392
sub-23979	congruent	1	0.379
sub-23979	congruent	1	0.326
sub-23979	incongruent	0	0.303
sub-23979	congruent	0	0.350
sub-23979	incongruent	0	0.347
sub-23979	congruent	1	0.271
sub-23979	congruent	1	0.342
sub-23979	incongruent	0	0.295
