onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.151	2.0	789419	791449	ShowFixation	VGS	1	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
2.181	0.2	791449	791684	BlankScreen	VGS	1	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
2.416	1.0	791684	792725	ELCue	VGS	1	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
3.873	2.0	793141	795770	ShowFixation	ANTI	2	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
6.502	0.2	795770	796005	BlankScreen	ANTI	2	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
6.737	1.0	796005	797046	ELCue	ANTI	2	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
8.2	6.0	797468	804091	ShowFixation	VGS	3	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
14.823	0.2	804091	804330	BlankScreen	VGS	3	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
15.062	1.0	804330	805371	ELCue	VGS	3	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
16.502	2.0	805770	808416	ShowFixation	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
19.148	0.2	808416	808651	BlankScreen	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
19.383	1.0	808651	809692	ELCue	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
20.838	6.0	810106	816720	ShowFixation	ANTI	5	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
27.452	0.2	816720	816959	BlankScreen	ANTI	5	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
27.691	1.0	816959	818000	ELCue	ANTI	5	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
29.148	6.0	818416	825028	ShowFixation	ANTI	6	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
35.76	0.2	825028	825267	BlankScreen	ANTI	6	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
35.999	1.0	825267	826308	ELCue	ANTI	6	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
37.459	2.0	826727	829354	ShowFixation	VGS	7	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
40.086	0.2	829354	829588	BlankScreen	VGS	7	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
40.32	1.0	829588	830627	ELCue	VGS	7	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
41.765	6.0	831033	837674	ShowFixation	ANTI	8	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
48.406	0.2	837674	837913	BlankScreen	ANTI	8	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
48.645	1.0	837913	838954	ELCue	ANTI	8	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
50.103	2.0	839371	841999	ShowFixation	ANTI	9	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
52.731	0.2	841999	842234	BlankScreen	ANTI	9	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
52.966	1.0	842234	843275	ELCue	ANTI	9	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
54.422	2.0	843690	846320	ShowFixation	ANTI	10	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
57.052	0.2	846320	846555	BlankScreen	ANTI	10	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
57.287	1.0	846555	847596	ELCue	ANTI	10	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
58.711	6.0	847979	854642	ShowFixation	VGS	11	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
65.374	0.2	854642	854880	BlankScreen	VGS	11	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
65.612	1.0	854880	855921	ELCue	VGS	11	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
67.071	6.0	856339	862967	ShowFixation	VGS	12	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
73.699	0.2	862967	863206	BlankScreen	VGS	12	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
73.938	1.0	863206	864246	ELCue	VGS	12	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
75.395	2.0	864663	867275	ShowFixation	ANTI	13	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
78.007	0.2	867275	867493	BlankScreen	ANTI	13	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
78.225	1.0	867493	868516	ELCue	ANTI	13	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
79.663	6.0	868931	875562	ShowFixation	VGS	14	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
